Title,Authors,Year of Publication,DOI,Source
Secure Software Development Life Cycle: An Approach to Reduce the Risks of Cyber Attacks in Cyber Physical Systems and Digital Twins,"Radha Seelaboyina, Sai Prakash Chary Vadla, ... Veena Vani Pedduri",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Enhancing attack resilience of cyber-physical systems through state dependency graph models,"Konstantinos Adamos, George Stergiopoulos, ... Dimitris Gritzalis",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Exploratory Project of Digital Twin Technology in Cyber-Physical Systems,"Irony Nunes de Oliveira, Hanameel Carlos Vieira Gomes, ... Cícero Roberto Garcez",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
ViSE: Digital Twin Exploration for Automotive Functional Safety and Cybersecurity,"Md Rafiul Kabir, Sandip Ray",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
"Cyber Resilience of Cyber-Physical Systems and Machine Learning, a Scoping Review","João Pavão, Rute Bastardo, Nelson Pacheco Rocha",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
A review of digital twins and their application in cybersecurity based on artificial intelligence,"Mohammadhossein Homaei, Óscar Mogollón-Gutiérrez, ... Andrés Caro",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
MSOA: A modular service-oriented architecture to integrate mobile manipulators as cyber-physical systems,"Nooshin Ghodsian, Khaled Benfriha, ... Aurélien Arnou",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Cyber-Physical System Converged Digital Twin for Secure Patient Monitoring and Attack Detection,"Jiang Xing, Dandan Wang, ... Lijie Li",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
A Survey of Cyber-physical Systems Applications (2017–2022),"Nastaran Jadidi, Mohsen Varmazyar",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Analysis of Cross-Domain Security and Privacy Aspects of Cyber-Physical Systems,"Kamal Prasat, S. Sanjay, ... Ramani Selvanambi",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
"An Analysis Study of Security Threats, Vulnerabilities Challenges of Cyber-Physical Systems","Javaid Ahmad Wani, Samayveer Sing, ... Pradeep Kumar Singh",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Digital twins: artificial intelligence and the IoT cyber-physical systems in Industry 4.0,"Petar Radanliev, David De Roure, ... Omar Santos",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Cyber Physical Integrated Digital Twin Network Model for Enterprise Producing High-Performing Logistics,"Yang Pu, Xingchen Pan, ... Mengtian Zhang",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Integration of Cyber Physical Systems and Data Science into the Built Environment Lifecycle,"Luke Desmond, Mohamed Salama",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
A new enhanced cyber security framework for medical cyber physical systems,"Ishaani Priyadarshini, Raghvendra Kumar, ... Sakshi Rai",2024,https://doi.org/10.1007/s10586-024-04320-x,https://link.springer.com/
Fault Tolerance in Cyber-Physical Systems,Federica Pascucci,2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
"Lessons Learned and Future Directions for Security, Resilience and Artificial Intelligence in Cyber Physical Systems","J. Sukarno Mertoguno, Gregory Briskin, ... Kyung Kwak",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Safety in Cyber-Physical Systems,Vasileios Gkioulos,2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Cyber-Physical Systems in Decarbonisation,"Oliver Inderwildi, Chuan Zhang, Markus Kraft",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
A Hybrid Dynamic Risk Analysis Methodology for Cyber-Physical Systems,"Christos Lyvas, Konstantinos Maliatsos, ... Athanasios Kanatas",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
A Survey of Cyber-Physical Systems Applications (2017–2022),"Nastaran Jadidi, Mohsen Varmazyar",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
TEA-EKHO-IDS: An intrusion detection system for industrial CPS with trustworthy explainable AI and enhanced krill herd optimization,"S. Sivamohan, S. S. Sridhar, S. Krishnaveni",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Toward the Adoption of Secure Cyber Digital Twins to Enhance Cyber-Physical Systems Security,"Alessandra De Benedictis, Christiancarmine Esposito, Alessandra Somma",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Robotics and Artificial Intelligence in the Nuclear Industry: From Teleoperation to Cyber Physical Systems,"Declan Shanahan, Ziwei Wang, Allahyar Montazeri",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
"A Review of the Concept, Applications, Risks and Control Strategies for Digital Twin","Farnaz Farid, Abubakar Bello, ... Razia Sultana",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Examining the nexus of blockchain technology and digital twins: Bibliometric evidence and research trends,"Xiaozhi Ma, Wenbo Du, ... Hongping Yuan",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Cognitive Digital Twins for Improving Security in IT-OT Enabled Healthcare Applications,"Sandeep Pirbhulal, Sabarathinam Chockalingam, ... Nathan Lau",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Study I: Industrial Cyber-Physical Systems in a Systemic Perspective,Sascha Julian Oks,2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Dataset Generation Methodology: Towards Application of Machine Learning in Industrial Water Treatment Security,"Evgenia Novikova, Elena Fedorchenko, ... Igor Saenko",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Human Factors and Security in Digital Twins: Challenges and Future Prospects,"Sanjay Misra, Kousik Barik, ... Sabarathinam Chockalingam",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Security and Privacy-related Issues in a Digital Twin Context,"Tomas Kulik, Zahra Kazemi, Peter Gorm Larsen",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Cyber Manufacturing,"Matthew N. O. Sadiku, Abayomi J. Ajayi-Majebi, Philip O. Adebo",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
Data Protection and Security Enhancement in Cyber-Physical Systems Using AI and Blockchain,"K. Vignesh Saravanan, P. Jothi Thilaga, ... K. Vijayalakshmi",2023,https://doi.org/10.1007/s12083-023-01507-8,https://link.springer.com/
